N,Run,Theta_NO,Theta_BH,T_NO,T_BH,Total_NO,Total_BH
10,28,2.359999780310318e-05,0.0012102999971830286,0.007353900000452995,0.001523599996289704,0.0073774999982560985,0.0027338999934727326
10,29,1.9400002202019095e-05,0.0004239999980200082,0.0058892999950330704,0.00035680000291904435,0.0059086999972350895,0.0007808000009390526
10,30,1.3899996702093631e-05,0.00041539999801898375,0.0031755000018165447,0.000618199999735225,0.0031893999985186383,0.0010335999977542087
10,31,1.960000372491777e-05,0.0004075999968335964,0.0025605999981053174,0.00030649999825982377,0.002580200001830235,0.0007140999950934201
10,32,1.3000004400964826e-05,0.0010459999975864775,0.005408500001067296,0.0015812999990885146,0.0054215000054682605,0.002627299996674992
10,33,1.6400001186411828e-05,0.0007001999983913265,0.005341500000213273,0.00099709999631159,0.005357900001399685,0.0016972999947029166
10,34,1.9500002963468432e-05,0.000852000004670117,0.006656300000031479,0.0016203000050154515,0.006675800002994947,0.0024723000096855685
10,35,2.8100002964492887e-05,0.0008908000017981976,0.004965299995092209,0.0022448000017902814,0.004993399998056702,0.003135600003588479
10,36,1.6500001947861165e-05,0.0009445999967283569,0.007972299994435161,0.0036572000026353635,0.007988799996383023,0.00460179999936372
10,37,2.660000609466806e-05,0.0007732000012765639,0.007728199998382479,0.0019567999988794327,0.007754800004477147,0.0027300000001559965
10,38,2.25000039790757e-05,0.0005623999968520366,0.006492300002719276,0.001389499993820209,0.006514800006698351,0.0019518999906722456
10,39,1.4299999747890979e-05,0.00048180000158026814,0.004674600000726059,0.0006958000012673438,0.00468890000047395,0.001177600002847612
10,40,1.2500000593718141e-05,0.00039000000106170774,0.003756400001293514,0.001161800006229896,0.003768900001887232,0.0015518000072916038
10,41,1.2399999832268804e-05,0.0004965000043739565,0.004965100000845268,0.0014780000055907294,0.004977500000677537,0.001974500009964686
10,42,2.5699999241624027e-05,0.0007264000014401972,0.003712899997481145,0.002077899996947963,0.003738599996722769,0.00280429999838816
10,43,1.9500002963468432e-05,0.0014226000057533383,0.007844199993996881,0.0022319999989122152,0.00786369999696035,0.0036546000046655536
10,44,4.6999994083307683e-05,0.0009853000010480173,0.009140900001511909,0.0023349000039161183,0.009187899995595217,0.0033202000049641356
10,45,2.5800000003073364e-05,0.000942300001042895,0.006542300005094148,0.0052753999989363365,0.006568100005097222,0.0062176999999792315
10,46,2.9599999834317714e-05,0.001186100002087187,0.011570700000447687,0.002781499999400694,0.011600300000282004,0.003967600001487881
10,47,3.3200005418621004e-05,0.0006523999982164241,0.006592999998247251,0.0012898999993922189,0.006626200003665872,0.001942299997608643
10,48,1.9199993403162807e-05,0.0007669000042369589,0.008948000002419576,0.0014692000040668063,0.008967199995822739,0.002236100008303765
